Select Cohort =>,Engineering Management - 2nd End-October 2022,Engineering Management,2nd End-October 2022,,Cohort End Date,2023-12-05,,,,,,,,,,,,,
Cohort Start Date =>,2022-10-25,Start Time,6:00 PM,,End Date,10/25/2022,,End Time,8:00 PM,,,,,,,,,,
Cohort End Date =>,2023-12-05,,,,,,,,,,,,,,,,,,
Type Name,Resource Name,Topic Name,Dashboard Time Zone,Start Date,Start Time,End Date,End Time,Location,Activity,Feedback,Feedback Template,Feedback Activity,Activity Status,Conditional Activity,Condition Status,Helpful Material,Status,Activity Time Zone,Topic Code
resourcecollection,Onboarding *Start Here*,Welcome to Interview Kickstart,US/Pacific,2022-10-25,17:00:00,,,Remote Only,Watch the Videos,disabled,N/A,N/A,Always active,,,,,US/Pacific,
feedbacktemplate,Onboarding Form *Complete Now*,Welcome to Interview Kickstart,US/Pacific,2022-10-25,17:01:00,,,Remote Only,Complete the Form,disabled,N/A,N/A,Conditional,Welcome to Interview Kickstart - Onboarding *Start Here*,COMPLETED,,,US/Pacific,
resourcecollection,System Design Fundamentals - Foundation (09:56:08),Scalable Systems,US/Pacific,2022-10-25,17:02:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,Conditional,Welcome to Interview Kickstart - Onboarding Form *Complete Now*,COMPLETED,,,US/Pacific,
class,Live Orientation,Orientation,US/Pacific,2022-10-25,18:00:00,2022-10-25,20:00:00,Remote Only,Attend the Class,enabled,Orientation Feedback,<p><br></p>,On Scheduled Date,,,,Scheduled,US/Pacific,ORTN00
feedbacktemplate,Orientation Feedback,Orientation,US/Pacific,2022-10-25,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
video,Discord Tutorial,Welcome to Interview Kickstart,US/Pacific,2022-10-25,20:05:00,,,Remote Only,Watch the Videos,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
feedbacktemplate,MANDATORY Discord Form,Welcome to Interview Kickstart,US/Pacific,2022-10-25,20:10:00,,,Remote Only,Complete the Form,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
instruction,Discord - 2nd End-October 2022 - Program 2,Welcome to Interview Kickstart,US/Pacific,2022-10-25,20:15:00,,,Remote Only,Join Discord!,disabled,N/A,N/A,On Scheduled Date,,,,Scheduled,US/Pacific,
class,Live Online Processing Systems Class,Scalable Systems,US/Pacific,2022-10-30,9:15:00,2022-10-30,14:45:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Online Processing Systems with Omkar Deshpande;Alternative Class - Online Processing Systems Slides by Omkar Deshpande;Alternative Class - Online Processing Systems Slides by Sanjay Aggarwal;Alternative Class 2 - Online Processing Systems Slides by Niloy Mukherjee;Alternative Class 1 - Online Processing Systems Slides by Niloy Mukherjee;Alternative Class - Online Processing Systems with Sanjay Aggarwal;Alternative Class 2 - Online Processing Systems with Niloy Mukherjee;Alternative Class 1 - Online Processing Systems with Niloy Mukherjee,Scheduled,US/Pacific,SDSS01
feedbacktemplate,Class Feedback (Mandatory),Scalable Systems,US/Pacific,2022-10-30,14:45:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Scalable Systems - Practice Problem Set 1,Scalable Systems,US/Pacific,2022-10-30,14:50:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Online Processing Systems Timed Test and Group Discussion Class,Scalable Systems,US/Pacific,2022-11-03,17:00:00,2022-11-03,19:00:00,Remote Only,Attend Test Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Online Processing Systems Test Review with Sasha;Alternative Class - Online Processing Systems Test Review with Vineet,Scheduled,US/Pacific,SDSST1
test,Online Processing Systems - Timed Test,Scalable Systems,US/Pacific,2022-11-03,17:00:00,2022-11-03,18:00:00,Remote Only,Attempt Timed Test,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
feedbacktemplate,Class Feedback (Mandatory),Scalable Systems,US/Pacific,2022-11-03,19:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Batch Processing Systems Class,Scalable Systems,US/Pacific,2022-11-06,9:15:00,2022-11-06,14:45:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Batch Processing Systems Slides by Reza Saddodin;Alternative Class - Batch Processing Systems Slides by Niloy Mukherjee;Alternative Class - Batch Processing Systems with Reza Saddodin;Alternative Class - Batch Processing Systems with Niloy Mukherjee,Scheduled,US/Pacific,SDSS02
feedbacktemplate,Class Feedback (Mandatory),Scalable Systems,US/Pacific,2022-11-06,14:45:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Scalable Systems - Practice Problem Set 2,Scalable Systems,US/Pacific,2022-11-06,14:50:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL Batch Processing Systems Material,Scalable Systems,US/Pacific,2022-11-06,14:55:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
video,(Video) Calibrate Your Time,Message from IK Founder,US/Pacific,2022-11-09,0:00:00,,,Remote Only,Watch Video,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
video,(Video) Come Back Fast From Your Distractions,Message from IK Founder,US/Pacific,2022-11-09,0:00:00,,,Remote Only,Watch Video,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Batch Processing Systems Timed Test and Group Discussion Class,Scalable Systems,US/Pacific,2022-11-10,17:00:00,2022-11-10,19:00:00,Remote Only,Attend Test Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Batch Processing Systems Test Review with Jake;Alternative Class - Batch Processing Systems Test Review with Richi,Scheduled,US/Pacific,SDSST2
test,Batch Processing Systems - Timed Test,Scalable Systems,US/Pacific,2022-11-10,17:00:00,2022-11-10,18:00:00,Remote Only,Attempt Timed Test,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
feedbacktemplate,Class Feedback (Mandatory),Scalable Systems,US/Pacific,2022-11-10,19:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
feedbacktemplate,System Design Program Feedback Form,System Design Program Feedback,US/Pacific,2022-11-13,8:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Stream Processing Systems Class,Scalable Systems,US/Pacific,2022-11-13,9:15:00,2022-11-13,14:45:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Stream Processing Systems Slides by Adityan Melarkode;Alternative Class - Stream Processing Systems Slides by Yue Ning;Alternative Class - Stream Processing Systems Slides by Raghuram Belur;Alternative Class - Stream Processing Systems with Adityan Melarkode;Alternative Class - Stream Processing Systems with Yue Ning;Alternative Class - Stream Processing Systems with Raghuram Belur,Scheduled,US/Pacific,SDSS03
feedbacktemplate,Class Feedback (Mandatory),Scalable Systems,US/Pacific,2022-11-13,14:45:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Scalable Systems - Practice Problem Set 3,Scalable Systems,US/Pacific,2022-11-13,14:50:00,,,Remote Only,Complete Practice Problems,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Stream Processing Systems Timed Test and Group Discussion Class,Scalable Systems,US/Pacific,2022-11-17,18:00:00,2022-11-17,20:00:00,Remote Only,Attend Test Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Stream Processing Systems Test Review with Tilo,Scheduled,US/Pacific,SDSST3
